Modèle,MAE_EUR,RMSE_EUR,MAPE_%,R2_log
Régression Linéaire,5788.82712083779,8352.44671051541,93.72689565657541,0.1981242354765379
XGBoost,2130.465271027747,3357.9172171004298,29.006043571044426,0.24502007346218369
